Country,State,Year,"Cognizable Crimes Reported By Ipc (UOM:Number), Scaling Factor:1","Registered Murder Cases (UOM:Number), Scaling Factor:1","Registered Cases Of Offence Against State (UOM:Number), Scaling Factor:1","Cases Reported Under The Prevention Of Corruption Act And Related Sections Of Ipc (UOM:Number), Scaling Factor:1","Value Of Property Stolen (UOM:INR(IndianRupees)), Scaling Factor:10000000","Value Of Property Recovered (UOM:INR(IndianRupees)), Scaling Factor:10000000","Cases Registered By Railway Protection Force (UOM:Number), Scaling Factor:1","Registered Cases Of Crime Or Atrocities Against Scheduled Castes (Scs) (UOM:Number), Scaling Factor:1","Registered Cases Of Crime Or Atrocities Against Scheduled Tribes (Sts) (UOM:Number), Scaling Factor:1","Cognizable Crimes Registered Under Sll (Special & Local Laws) (UOM:Number), Scaling Factor:1","Cognizable Crimes Registered Under Ipc (Indian Penal Code) And Sll (Special & Local Laws) (UOM:Number), Scaling Factor:1","Cases Registered Under Crime Against Women (Including Both Ipc And Sll (Special & Local Laws Crimes) (UOM:Number), Scaling Factor:1","Cases Of Crime Against Foreigners (UOM:Number), Scaling Factor:1","Registered Cyber-Crime Cases (UOM:Number), Scaling Factor:1","Cases Registered Under Economic Offences (UOM:Number), Scaling Factor:1","Cases Registered Under Environment Related Offences (UOM:Number), Scaling Factor:1","Cases Registered Under Ipc And Sll (Special & Local Laws) In Which Juveniles Were Apprehended (UOM:Number), Scaling Factor:1"
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2017",132336,1054,150,199,127.0091477,56.262036,76356,1969,341,15666,148002,17909,3,931,6299,135,1122
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2017",2565,79,16,11,20.4031238,1.9912572,0,2,0,181,2746,337,0,1,115,2,48
India,Assam,"Calendar Year (Jan - Dec), 2017",104324,1144,323,27,108.3246274,14.8700988,6795,10,65,5628,109952,23082,2,1120,7363,105,192
India,Bihar,"Calendar Year (Jan - Dec), 2017",180573,2803,146,128,158.3614969,44.4156112,60056,6747,80,55482,236055,14711,9,433,8067,51,1142
India,Chandigarh,"Calendar Year (Jan - Dec), 2017",3240,25,3,2,8.2050288,2.7264362,1444,1,0,2222,5462,453,1,32,123,4,159
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2017",58481,919,14,27,50.2654788,15.3216177,22752,283,399,32035,90516,7996,1,171,1719,65,1952
India,Delhi,"Calendar Year (Jan - Dec), 2017",232066,487,11,9,752.6885573,77.5788825,24747,48,4,12648,244714,13076,169,162,5200,21,2965
India,Goa,"Calendar Year (Jan - Dec), 2017",2965,31,6,4,11.0178457,1.598277,383,10,2,978,3943,369,28,13,200,28,24
India,Gujarat,"Calendar Year (Jan - Dec), 2017",128775,970,27,148,245.6410588,51.4941531,73690,1477,319,206024,334799,8133,4,458,3477,78,2013
India,Haryana,"Calendar Year (Jan - Dec), 2017",97924,1046,2576,82,213.4200002,64.0436556,15478,762,0,126892,224816,11370,10,504,5923,42,1030
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2017",13007,99,68,29,18.0202617,8.5105712,274,109,3,4789,17796,1246,4,56,574,196,184
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2017",22171.20153673144289077470,148.67528272745309566320,178.01908852892410138620,82.16265624411881602440,28.966029048386625764864534730,10.142927192298711195305231010,1108.21773243555498280530,0.00000000000000000000,0.00000000000000000000,2876.67109540420759437810,25047.87263213565048515280,3060.55894509342589690890,0.00000000000000000000,61.62199218308911201830,675.88566029388216515310,12.71564918063743581330,182.90972282916926900670
India,Jharkhand,"Calendar Year (Jan - Dec), 2017",44595,1487,78,170,34.7385441,3.1909301,23157,541,237,8069,52664,5911,0,720,3510,158,75
India,Karnataka,"Calendar Year (Jan - Dec), 2017",146354,1384,111,289,295.2527802,125.3063094,37873,1878,401,37709,184063,14078,30,3174,7604,494,499
India,Kerala,"Calendar Year (Jan - Dec), 2017",235846,305,315,142,57.4834954,20.4184909,33109,916,144,417654,653500,11057,19,320,4678,6780,481
India,Ladakh,"Calendar Year (Jan - Dec), 2017",495.79846326855710922530,3.32471727254690433680,3.98091147107589861380,1.83734375588118397560,0.647746251613374235135465270,0.226818907701288804694768990,24.78226756444501719470,0.00000000000000000000,0.00000000000000000000,64.32890459579240562190,560.12736786434951484720,68.44105490657410309110,0.00000000000000000000,1.37800781691088798170,15.11433970611783484690,0.28435081936256418670,4.09027717083073099330
India,Lakshadweep,"Calendar Year (Jan - Dec), 2017",78,0,2,0,0.0338,0.00085,0,0,0,36,114,6,0,0,0,0,0
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2017",269512,1908,32,294,163.7512053,65.4511509,91906,5892,2289,110170,379682,29788,5,490,3218,46,6491
India,Maharashtra,"Calendar Year (Jan - Dec), 2017",288879,2103,253,925,1521.331323,207.7489073,234826,1689,464,178874,467753,31979,61,3604,13941,439,6026
India,Manipur,"Calendar Year (Jan - Dec), 2017",3416,63,333,1,7.2095632,1.433081,0,0,1,834,4250,236,0,74,256,1,12
India,Meghalaya,"Calendar Year (Jan - Dec), 2017",3521,87,38,1,8.8124516,1.2340167,0,0,0,431,3952,567,0,39,294,0,93
India,Mizoram,"Calendar Year (Jan - Dec), 2017",2118,21,1,5,6.2012808,0.4521947,0,0,0,620,2738,301,1,10,91,1,21
India,Nagaland,"Calendar Year (Jan - Dec), 2017",1068,36,14,12,4.9179199,1.2215873,87,0,0,485,1553,79,0,0,66,0,12
India,Odisha,"Calendar Year (Jan - Dec), 2017",83583,1267,26,494,133.0793699,39.3702052,34621,1969,700,20283,103866,20098,0,824,3451,3,1111
India,Puducherry,"Calendar Year (Jan - Dec), 2017",3883,25,7,2,6.142435,2.1422269,236,32,0,916,4799,147,0,5,92,75,104
India,Punjab,"Calendar Year (Jan - Dec), 2017",39288,659,60,167,92.3338483,32.6889184,22420,118,0,31385,70673,4620,11,176,3788,35,215
India,Rajasthan,"Calendar Year (Jan - Dec), 2017",169941,1473,74,404,237.4298518,125.1324264,73388,4238,984,75612,245553,25993,19,1304,21645,10122,2048
India,Sikkim,"Calendar Year (Jan - Dec), 2017",719,13,0,0,1.5410468,0.36564,0,5,6,260,979,163,0,1,61,0,24
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2017",178836,1560,1802,257,151.7078846,118.0015741,82221,1362,22,242040,420876,5397,43,228,3511,20914,2376
India,Telangana,"Calendar Year (Jan - Dec), 2017",119858,805,98,55,120.3862194,62.2505574,17541,1466,435,13339,133197,17521,7,1209,10840,307,1365
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2017",633.00000000000000000000,9.00000000000000000000,1.00000000000000000000,0.00000000000000000000,2.164596100000000000000000000,0.828931900000000000000000000,0.00000000000000000000,0.00000000000000000000,5.00000000000000000000,58.00000000000000000000,691.00000000000000000000,46.00000000000000000000,0.00000000000000000000,1.00000000000000000000,95.00000000000000000000,0.00000000000000000000,21.00000000000000000000
India,Tripura,"Calendar Year (Jan - Dec), 2017",3918,124,16,1,4.3691751,1.1242132,51,1,1,320,4238,972,0,7,149,0,37
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",310084,4324,2055,58,293.3475292,100.126997,137693,11444,88,289998,600082,56011,39,4971,20717,1863,825
India,Uttarakhand,"Calendar Year (Jan - Dec), 2017",12889,181,7,13,15.5067807,8.1757666,5990,96,11,15972,28861,1944,5,124,1122,75,159
India,West Bengal,"Calendar Year (Jan - Dec), 2017",163999,2001,167,15,100.6620262,29.766204,37612,138,122,31538,195537,30992,21,568,10052,88,577
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2016",802,14,7,3,0.7629905,0.2844064,0,0,6,1689,2491,108,0,3,82,0,12
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2016",106774,1123,40,164,113.1794964,46.5213801,69689,2335,405,22615,129389,16362,5,616,5931,46,809
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2016",2534,46,10,14,12.9495,2.2214152,1,0,1,166,2700,367,0,4,167,1,57
India,Assam,"Calendar Year (Jan - Dec), 2016",102250,1149,343,23,94.1684732,19.5053646,6241,4,1,4764,107014,20869,0,696,6519,149,436
India,Bihar,"Calendar Year (Jan - Dec), 2016",164163,2581,207,164,100.2107867,19.8449101,43772,5701,25,25533,189696,13400,10,309,8628,41,2335
India,Chandigarh,"Calendar Year (Jan - Dec), 2016",2996,26,2,15,7.9927954,2.7808064,1424,1,0,1260,4256,414,4,26,210,3,96
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2016",55029,957,9,61,43.0565367,14.495642,23576,243,402,29163,84192,5947,0,90,1282,15,1953
India,Delhi,"Calendar Year (Jan - Dec), 2016",209519,528,22,16,3278.814716,157.0157603,24293,54,2,7401,216920,15310,154,98,6427,18,2499
India,Goa,"Calendar Year (Jan - Dec), 2016",2692,30,11,11,9.317018,2.113208,249,11,11,1014,3706,371,22,31,199,1,21
India,Gujarat,"Calendar Year (Jan - Dec), 2016",147122,1120,44,258,207.6014665,62.988387,77230,1322,281,288300,435422,8532,2,362,3463,16,1681
India,Haryana,"Calendar Year (Jan - Dec), 2016",88527,1057,1286,139,261.5362188,76.7635302,14686,639,0,54584,143111,9839,8,401,5123,44,1186
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2016",13386,101,58,28,19.5650217,8.6154091,236,116,2,3863,17249,1222,4,31,507,178,204
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2016",23965.08619806137037397410,138.89401412696276042220,180.95346910907120195850,53.79697730269684382550,24.4473637458378051595762981170,11.016807345670124829377053620,1000.62377783016129515430,0.97812686004903352410,0.00000000000000000000,2076.56332388409817166430,26041.64952194546854563840,2787.66155113974554368500,0.00000000000000000000,27.38755208137293867480,627.95744415147952247220,3.91250744019613409640,193.66911828970863777180
India,Jharkhand,"Calendar Year (Jan - Dec), 2016",40710,1514,106,119,27.9243861,5.9087803,18411,525,280,7107,47817,5453,2,259,3119,139,140
India,Karnataka,"Calendar Year (Jan - Dec), 2016",148402,1573,148,25,276.5805465,105.3072547,37839,1869,374,31077,179479,14131,12,1101,7980,178,453
India,Kerala,"Calendar Year (Jan - Dec), 2016",260097,305,317,430,83.0546576,18.2417155,29195,810,182,447773,707870,10034,15,283,5217,28,628
India,Ladakh,"Calendar Year (Jan - Dec), 2016",535.91380193862962602590,3.10598587303723957780,4.04653089092879804150,1.20302269730315617450,0.5466986241621948404237018830,0.246360854329875170622946380,22.37622216983870484570,0.02187313995096647590,0.00000000000000000000,46.43667611590182833570,582.35047805453145436160,62.33844886025445631500,0.00000000000000000000,0.61244791862706132520,14.04255584852047752780,0.08749255980386590360,4.33088171029136222820
India,Lakshadweep,"Calendar Year (Jan - Dec), 2016",36,0,0,0,0.026742,0,0,0,1,14,50,9,0,0,1,0,0
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2016",264418,2004,21,402,236.7456807,72.5673815,98964,4922,1823,100736,365154,26604,2,258,2825,32,7369
India,Maharashtra,"Calendar Year (Jan - Dec), 2016",261714,2299,178,1016,3371.276576,266.9169112,223360,1750,403,169152,430866,31388,38,2380,13008,170,6606
India,Manipur,"Calendar Year (Jan - Dec), 2016",3170,78,335,0,8.550415835,2.9929104,0,2,1,928,4098,253,0,11,137,2,10
India,Meghalaya,"Calendar Year (Jan - Dec), 2016",3366,108,51,0,14.97956752,1.7080632,0,0,0,216,3582,372,0,39,324,0,84
India,Mizoram,"Calendar Year (Jan - Dec), 2016",2425,29,0,5,8.9105931,3.4995726,0,0,0,375,2800,120,0,1,119,1,53
India,Nagaland,"Calendar Year (Jan - Dec), 2016",1376,36,15,10,8.1380584,1.8858279,35,0,0,532,1908,105,0,2,140,3,18
India,Odisha,"Calendar Year (Jan - Dec), 2016",81460,1328,25,569,111.2783073,28.41489724,32473,1796,681,22105,103565,17837,1,317,3756,1,994
India,Puducherry,"Calendar Year (Jan - Dec), 2016",4086,33,8,5,3.6023037,1.4432814,304,3,1,799,4885,95,33,2,104,1,72
India,Punjab,"Calendar Year (Jan - Dec), 2016",40007,771,32,171,106.0124781,38.8291771,22661,132,2,17732,57739,5105,9,102,4271,4,117
India,Rajasthan,"Calendar Year (Jan - Dec), 2016",180398,1551,82,387,240.0563412,131.3581248,59721,5134,1195,70749,251147,27422,25,941,23589,1381,2273
India,Sikkim,"Calendar Year (Jan - Dec), 2016",809,17,0,14,1.90739,0.7655147,0,1,0,211,1020,153,0,1,61,0,27
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2016",179896,1603,1827,170,136.8868809,91.5349201,81639,1291,19,287473,467369,4463,24,144,3499,1,2217
India,Telangana,"Calendar Year (Jan - Dec), 2016",108991,1046,90,89,113.5501512,60.9203499,15516,1529,375,11282,120273,15374,4,593,9286,22,998
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2016",515.00000000000000000000,9.00000000000000000000,0.00000000000000000000,0.00000000000000000000,5.226944000000000000000000000,1.960314800000000000000000000,0.00000000000000000000,0.00000000000000000000,2.00000000000000000000,28.00000000000000000000,543.00000000000000000000,69.00000000000000000000,0.00000000000000000000,1.00000000000000000000,45.00000000000000000000,0.00000000000000000000,7.00000000000000000000
India,Tripura,"Calendar Year (Jan - Dec), 2016",3933,145,7,2,2.4275433,0.722421,12,0,3,148,4081,1013,0,8,146,0,25
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2016",282171,4889,1414,30,630.0749726,167.7097782,124720,10426,4,211854,494025,49262,6,2639,15765,2130,1438
India,Uttarakhand,"Calendar Year (Jan - Dec), 2016",10867,194,4,28,13.26644,7.1634128,5142,65,3,5207,16074,1588,0,62,1289,49,124
India,West Bengal,"Calendar Year (Jan - Dec), 2016",176569,2044,102,16,158.4457479,24.6915306,56447,119,83,27831,204400,32513,2,478,9663,74,709
