Country,State,Year,"Cognizable Crimes Reported By Ipc (UOM:Number), Scaling Factor:1","Registered Murder Cases (UOM:Number), Scaling Factor:1","Registered Cases Of Offence Against State (UOM:Number), Scaling Factor:1","Cases Reported Under The Prevention Of Corruption Act And Related Sections Of Ipc (UOM:Number), Scaling Factor:1","Value Of Property Stolen (UOM:INR(IndianRupees)), Scaling Factor:10000000","Value Of Property Recovered (UOM:INR(IndianRupees)), Scaling Factor:10000000","Cases Registered By Railway Protection Force (UOM:Number), Scaling Factor:1","Registered Cases Of Crime Or Atrocities Against Scheduled Castes (Scs) (UOM:Number), Scaling Factor:1","Registered Cases Of Crime Or Atrocities Against Scheduled Tribes (Sts) (UOM:Number), Scaling Factor:1","Cognizable Crimes Registered Under Sll (Special & Local Laws) (UOM:Number), Scaling Factor:1","Cognizable Crimes Registered Under Ipc (Indian Penal Code) And Sll (Special & Local Laws) (UOM:Number), Scaling Factor:1","Cases Registered Under Crime Against Women (Including Both Ipc And Sll (Special & Local Laws Crimes) (UOM:Number), Scaling Factor:1","Cases Of Crime Against Foreigners (UOM:Number), Scaling Factor:1","Registered Cyber-Crime Cases (UOM:Number), Scaling Factor:1","Cases Registered Under Economic Offences (UOM:Number), Scaling Factor:1","Cases Registered Under Environment Related Offences (UOM:Number), Scaling Factor:1","Cases Registered Under Ipc And Sll (Special & Local Laws) In Which Juveniles Were Apprehended (UOM:Number), Scaling Factor:1"
India,Maharashtra,"Calendar Year (Jan - Dec), 2021",367218,2330,,,,,,,,173582,540800,39526,,,,,
India,Manipur,"Calendar Year (Jan - Dec), 2021",2484,46,,,,,,,,720,3204,302,,,,,
India,Meghalaya,"Calendar Year (Jan - Dec), 2021",2672,80,,,,,,,,756,3428,685,,,,,
India,Mizoram,"Calendar Year (Jan - Dec), 2021",2467,24,,,,,,,,729,3196,176,,,,,
India,Nagaland,"Calendar Year (Jan - Dec), 2021",1033,27,,,,,,,,445,1478,54,,,,,
India,Odisha,"Calendar Year (Jan - Dec), 2021",124956,1394,,,,,,,,30464,155420,31352,,,,,
India,Puducherry,"Calendar Year (Jan - Dec), 2021",3851,19,,,,,,,,744,4595,153,,,,,
India,Punjab,"Calendar Year (Jan - Dec), 2021",46454,723,,,,,,,,27127,73581,5662,,,,,
India,Rajasthan,"Calendar Year (Jan - Dec), 2021",214552,1786,,,,,,,,70017,284569,40738,,,,,
India,Sikkim,"Calendar Year (Jan - Dec), 2021",532,14,,,,,,,,196,728,130,,,,,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2021",322852,1686,,,,,,,,433901,756753,8501,,,,,
India,Telangana,"Calendar Year (Jan - Dec), 2021",146131,1026,,,,,,,,12678,158809,20865,,,,,
India,Tripura,"Calendar Year (Jan - Dec), 2021",4133,122,,,,,,,,655,4788,807,,,,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2021",357905,3717,,,,,,,,250177,608082,56083,,,,,
India,Uttarakhand,"Calendar Year (Jan - Dec), 2021",15704,208,,,,,,,,19171,34875,3431,,,,,
India,West Bengal,"Calendar Year (Jan - Dec), 2021",157498,1884,,,,,,,,24323,181821,35884,,,,,
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2020",482,5,,,,,,,,2060,2542,143,,,,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",188997,853,,,,,,,,49108,238105,17089,,,,,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",2244,45,,,,,,,,259,2503,281,,,,,
India,Assam,"Calendar Year (Jan - Dec), 2020",111558,1131,,,,,,,,10051,121609,26352,,,,,
India,Bihar,"Calendar Year (Jan - Dec), 2020",194698,3150,,,,,,,,62814,257512,15359,,,,,
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",2583,22,,,,,,,,671,3254,301,,,,,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",65216,972,,,,,,,,37957,103173,7385,,,,,
India,Delhi,"Calendar Year (Jan - Dec), 2020",249192,472,,,,,,,,16878,266070,10093,,,,,
India,Goa,"Calendar Year (Jan - Dec), 2020",3393,34,,,,,,,,973,4366,219,,,,,
India,Gujarat,"Calendar Year (Jan - Dec), 2020",381849,982,,,,,,,,317770,699619,8028,,,,,
India,Haryana,"Calendar Year (Jan - Dec), 2020",103276,1143,,,,,,,,89119,192395,13000,,,,,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2020",14803,91,,,,,,,,5827,20630,1614,,,,,
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2020",25233,149,,,,,,,,3678,28911,3405,,,,,
India,Jharkhand,"Calendar Year (Jan - Dec), 2020",51033,1592,,,,,,,,12537,63570,7630,,,,,
India,Karnataka,"Calendar Year (Jan - Dec), 2020",106350,1331,,,,,,,,43730,150080,12680,,,,,
India,Kerala,"Calendar Year (Jan - Dec), 2020",149099,306,,,,,,,,405625,554724,10139,,,,,
India,Ladakh,"Calendar Year (Jan - Dec), 2020",387,0,,,,,,,,16,403,9,,,,,
India,Lakshadweep,"Calendar Year (Jan - Dec), 2020",107,0,,,,,,,,40,147,15,,,,,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2020",283881,2101,,,,,,,,144165,428046,25640,,,,,
India,Maharashtra,"Calendar Year (Jan - Dec), 2020",394017,2163,,,,,,,,144986,539003,31954,,,,,
India,Manipur,"Calendar Year (Jan - Dec), 2020",2349,46,,,,,,,,637,2986,247,,,,,
India,Meghalaya,"Calendar Year (Jan - Dec), 2020",2871,79,,,,,,,,873,3744,568,,,,,
India,Mizoram,"Calendar Year (Jan - Dec), 2020",1787,28,,,,,,,,502,2289,172,,,,,
India,Nagaland,"Calendar Year (Jan - Dec), 2020",1022,25,,,,,,,,489,1511,39,,,,,
India,Odisha,"Calendar Year (Jan - Dec), 2020",108533,1470,,,,,,,,25697,134230,25489,,,,,
India,Puducherry,"Calendar Year (Jan - Dec), 2020",6725,39,,,,,,,,1215,7940,113,,,,,
India,Punjab,"Calendar Year (Jan - Dec), 2020",49870,757,,,,,,,,33005,82875,4838,,,,,
India,Rajasthan,"Calendar Year (Jan - Dec), 2020",193279,1719,,,,,,,,67099,260378,34535,,,,,
India,Sikkim,"Calendar Year (Jan - Dec), 2020",504,11,,,,,,,,171,675,140,,,,,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2020",891700,1661,,,,,,,,485981,1377681,6630,,,,,
India,Telangana,"Calendar Year (Jan - Dec), 2020",135885,802,,,,,,,,11619,147504,17791,,,,,
India,Tripura,"Calendar Year (Jan - Dec), 2020",4010,114,,,,,,,,643,4653,874,,,,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2020",355110,3779,,,,,,,,302815,657925,49385,,,,,
India,Uttarakhand,"Calendar Year (Jan - Dec), 2020",13812,160,,,,,,,,43520,57332,2846,,,,,
India,West Bengal,"Calendar Year (Jan - Dec), 2020",158060,1948,,,,,,,,24307,182367,36439,,,,,
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2019",564,13,,,,,,,,3470,4034,135,,,,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2019",119229,870,,,,,,,,26522,145751,17746,,,,,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2019",2590,60,,,,,,,,287,2877,317,,,,,
India,Assam,"Calendar Year (Jan - Dec), 2019",123512,1235,,,,,,,,9271,132783,30025,,,,,
India,Bihar,"Calendar Year (Jan - Dec), 2019",197935,3138,,,,,,,,71174,269109,18587,,,,,
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",2819,26,,,,,,,,1699,4518,515,,,,,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",61256,913,,,,,,,,35305,96561,7689,,,,,
India,Delhi,"Calendar Year (Jan - Dec), 2019",299475,521,,,,,,,,16786,316261,,,,,,
India,Goa,"Calendar Year (Jan - Dec), 2019",2465,33,,,,,,,,1262,3727,329,,,,,
India,Gujarat,"Calendar Year (Jan - Dec), 2019",139503,993,,,,,,,,291563,431066,8799,,,,,
India,Haryana,"Calendar Year (Jan - Dec), 2019",111323,1137,,,,,,,,55013,166336,14683,,,,,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2019",14480,70,,,,,,,,5444,19924,1636,,,,,
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2019",21913.95417253854707393640,116.39709634583498936790,,,,,,,,2938.29308758729670639640,24852.24726012584378033280,3001.87133349048388546290,,,,,
India,Jharkhand,"Calendar Year (Jan - Dec), 2019",50048,1626,,,,,,,,12158,62206,8760,,,,,
India,Karnataka,"Calendar Year (Jan - Dec), 2019",120165,1314,,,,,,,,43526,163691,13828,,,,,
India,Kerala,"Calendar Year (Jan - Dec), 2019",175810,323,,,,,,,,277273,453083,11462,,,,,
