Row Labels,"Sum of Cases Registered Under Ipc And Sll (Special & Local Laws) In Which Juveniles Were Apprehended (UOM:Number), Scaling Factor:1","Sum of Cases Registered Under Environment Related Offences (UOM:Number), Scaling Factor:1","Sum of Cases Registered Under Economic Offences (UOM:Number), Scaling Factor:1","Sum of Registered Cyber-Crime Cases (UOM:Number), Scaling Factor:1","Sum of Cases Of Crime Against Foreigners (UOM:Number), Scaling Factor:1","Sum of Cases Registered Under Crime Against Women (Including Both Ipc And Sll (Special & Local Laws Crimes) (UOM:Number), Scaling Factor:1","Sum of Cognizable Crimes Registered Under Ipc (Indian Penal Code) And Sll (Special & Local Laws) (UOM:Number), Scaling Factor:1","Sum of Cognizable Crimes Registered Under Sll (Special & Local Laws) (UOM:Number), Scaling Factor:1","Sum of Registered Cases Of Crime Or Atrocities Against Scheduled Tribes (Sts) (UOM:Number), Scaling Factor:1","Sum of Registered Cases Of Crime Or Atrocities Against Scheduled Castes (Scs) (UOM:Number), Scaling Factor:1","Sum of Cases Registered By Railway Protection Force (UOM:Number), Scaling Factor:1","Sum of Value Of Property Recovered (UOM:INR(IndianRupees)), Scaling Factor:10000000","Sum of Value Of Property Stolen (UOM:INR(IndianRupees)), Scaling Factor:10000000","Sum of Cases Reported Under The Prevention Of Corruption Act And Related Sections Of Ipc (UOM:Number), Scaling Factor:1","Sum of Registered Cases Of Offence Against State (UOM:Number), Scaling Factor:1","Sum of Registered Murder Cases (UOM:Number), Scaling Factor:1","Sum of Cognizable Crimes Reported By Ipc (UOM:Number), Scaling Factor:1"
"Calendar Year (Jan - Dec), 2016",18,3,140,2,0,105,1908,532,0,0,35,1.8858279,8.1380584,10,15,36,1376
"Calendar Year (Jan - Dec), 2017",12,0,66,0,0,79,1553,485,0,0,87,1.2215873,4.9179199,12,14,36,1068
"Calendar Year (Jan - Dec), 2018",10,0,103,2,0,75,1775,552,0,0,214,1.5900537,7.4321362,16,12,31,1223
"Calendar Year (Jan - Dec), 2019",,,,,,43,1661,544,,,,,,,,25,1117
"Calendar Year (Jan - Dec), 2020",,,,,,39,1511,489,,,,,,,,25,1022
"Calendar Year (Jan - Dec), 2021",,,,,,54,1478,445,,,,,,,,27,1033
"Calendar Year (Jan - Dec), 2022",,,,,,49,1592,584,,,,,,,,21,1008
Odisha,3183,12,10433,1984,1,161881,904204,182456,1938,5543,108991,102.1375771,363.6968969,1557,66,9572,721748
"Calendar Year (Jan - Dec), 2016",994,1,3756,317,1,17837,103565,22105,681,1796,32473,28.41489724,111.2783073,569,25,1328,81460
"Calendar Year (Jan - Dec), 2017",1111,3,3451,824,0,20098,103866,20283,700,1969,34621,39.3702052,133.0793699,494,26,1267,83583
"Calendar Year (Jan - Dec), 2018",1078,8,3226,843,0,20274,107408,23639,557,1778,41897,34.3524747,119.3392197,494,15,1378,83769
"Calendar Year (Jan - Dec), 2019",,,,,,23183,121525,25492,,,,,,,,1356,96033
"Calendar Year (Jan - Dec), 2020",,,,,,25489,134230,25697,,,,,,,,1470,108533
"Calendar Year (Jan - Dec), 2021",,,,,,31352,155420,30464,,,,,,,,1394,124956
"Calendar Year (Jan - Dec), 2022",,,,,,23648,178190,34776,,,,,,,,1379,143414
Puducherry,186,139,264,21,33,969,35455,6900,1,42,835,5.3261918,14.6546286,7,28,204,28555
"Calendar Year (Jan - Dec), 2016",72,1,104,2,33,95,4885,799,1,3,304,1.4432814,3.6023037,5,8,33,4086
"Calendar Year (Jan - Dec), 2017",104,75,92,5,0,147,4799,916,0,32,236,2.1422269,6.142435,2,7,25,3883
"Calendar Year (Jan - Dec), 2018",10,63,68,14,0,166,4674,1068,0,7,295,1.7406835,4.9098899,0,13,29,3606
"Calendar Year (Jan - Dec), 2019",,,,,,95,4004,837,,,,,,,,29,3167
"Calendar Year (Jan - Dec), 2020",,,,,,113,7940,1215,,,,,,,,39,6725
"Calendar Year (Jan - Dec), 2021",,,,,,153,4595,744,,,,,,,,19,3851
"Calendar Year (Jan - Dec), 2022",,,,,,200,4558,1321,,,,,,,,30,3237
Punjab,568,74,12894,517,25,36985,501666,195972,2,418,66048,102.6672483,300.8902727,514,131,4943,305694
"Calendar Year (Jan - Dec), 2016",117,4,4271,102,9,5105,57739,17732,2,132,22661,38.8291771,106.0124781,171,32,771,40007
"Calendar Year (Jan - Dec), 2017",215,35,3788,176,11,4620,70673,31385,0,118,22420,32.6889184,92.3338483,167,60,659,39288
"Calendar Year (Jan - Dec), 2018",236,35,4835,239,5,5302,70318,28678,0,168,20967,31.1491528,102.5439463,176,39,684,41640
"Calendar Year (Jan - Dec), 2019",,,,,,5886,72855,28158,,,,,,,,679,44697
"Calendar Year (Jan - Dec), 2020",,,,,,4838,82875,33005,,,,,,,,757,49870
"Calendar Year (Jan - Dec), 2021",,,,,,5662,73581,27127,,,,,,,,723,46454
"Calendar Year (Jan - Dec), 2022",,,,,,5572,73625,29887,,,,,,,,670,43738
Rajasthan,6389,21287,66543,3349,65,243162,1909391,517936,3274,13979,199596,375.9492948,724.7247548,1163,281,11530,1391455
"Calendar Year (Jan - Dec), 2016",2273,1381,23589,941,25,27422,251147,70749,1195,5134,59721,131.3581248,240.0563412,387,82,1551,180398
"Calendar Year (Jan - Dec), 2017",2048,10122,21645,1304,19,25993,245553,75612,984,4238,73388,125.1324264,237.4298518,404,74,1473,169941
"Calendar Year (Jan - Dec), 2018",2068,9784,21309,1104,21,27866,250546,78657,1095,4607,66487,119.4587436,247.2385618,372,125,1508,171889
"Calendar Year (Jan - Dec), 2019",,,,,,41550,304394,79088,,,,,,,,1659,225306
"Calendar Year (Jan - Dec), 2020",,,,,,34535,260378,67099,,,,,,,,1719,193279
"Calendar Year (Jan - Dec), 2021",,,,,,40738,284569,70017,,,,,,,,1786,214552
"Calendar Year (Jan - Dec), 2022",,,,,,45058,312804,76714,,,,,,,,1834,236090
Sikkim,60,0,165,3,0,1062,5911,1546,7,11,0,1.4283047,4.7668068,14,3,93,4365
"Calendar Year (Jan - Dec), 2016",27,0,61,1,0,153,1020,211,0,1,0,0.7655147,1.90739,14,0,17,809
"Calendar Year (Jan - Dec), 2017",24,0,61,1,0,163,979,260,6,5,0,0.36564,1.5410468,0,0,13,719
"Calendar Year (Jan - Dec), 2018",9,0,43,1,0,172,869,249,1,5,0,0.29715,1.31837,0,3,12,620
"Calendar Year (Jan - Dec), 2019",,,,,,125,821,189,,,,,,,,17,632
"Calendar Year (Jan - Dec), 2020",,,,,,140,675,171,,,,,,,,11,504
"Calendar Year (Jan - Dec), 2021",,,,,,130,728,196,,,,,,,,14,532
"Calendar Year (Jan - Dec), 2022",,,,,,179,819,270,,,,,,,,9,549
Tamil Nadu,6897,35451,10875,667,118,45954,4450417,2329192,56,4066,243243,306.0869323,432.7511904,691,5870,11514,2121225
"Calendar Year (Jan - Dec), 2016",2217,1,3499,144,24,4463,467369,287473,19,1291,81639,91.5349201,136.8868809,170,1827,1603,179896
"Calendar Year (Jan - Dec), 2017",2376,20914,3511,228,43,5397,420876,242040,22,1362,82221,118.0015741,151.7078846,257,1802,1560,178836
"Calendar Year (Jan - Dec), 2018",2304,14536,3865,295,51,5822,499188,313276,15,1413,79383,96.5504381,144.1564249,264,2241,1569,185912
"Calendar Year (Jan - Dec), 2019",,,,,,5934,455094,286978,,,,,,,,1745,168116
"Calendar Year (Jan - Dec), 2020",,,,,,6630,1377681,485981,,,,,,,,1661,891700
"Calendar Year (Jan - Dec), 2021",,,,,,8501,756753,433901,,,,,,,,1686,322852
"Calendar Year (Jan - Dec), 2022",,,,,,9207,473456,279543,,,,,,,,1690,193913
Telangana,3771,812,30516,3007,16,128038,983725,88722,1229,4502,49896,236.5337014,394.5070266,283,241,6241,895003
"Calendar Year (Jan - Dec), 2016",998,22,9286,593,4,15374,120273,11282,375,1529,15516,60.9203499,113.5501512,89,90,1046,108991
"Calendar Year (Jan - Dec), 2017",1365,307,10840,1209,7,17521,133197,13339,435,1466,17541,62.2505574,120.3862194,55,98,805,119858
"Calendar Year (Jan - Dec), 2018",1408,483,10390,1205,5,16027,126858,12907,419,1507,16839,113.3627941,160.570656,139,53,786,113951
"Calendar Year (Jan - Dec), 2019",,,,,,18394,131254,12916,,,,,,,,839,118338
"Calendar Year (Jan - Dec), 2020",,,,,,17791,147504,11619,,,,,,,,802,135885
"Calendar Year (Jan - Dec), 2021",,,,,,20865,158809,12678,,,,,,,,1026,146131
"Calendar Year (Jan - Dec), 2022",,,,,,22066,165830,13981,,,,,,,,937,151849
The Dadra and Nagar Haveli and Daman and Diu,43,2,193,2,0,251,2543,273,10,1,0,4.793021,14.097274,2,2,43,2270
"Calendar Year (Jan - Dec), 2016",7,0,45,1,0,69,543,28,2,0,0,1.9603148,5.226944,0,0,9,515
"Calendar Year (Jan - Dec), 2017",21,0,95,1,0,46,691,58,5,0,0,0.8289319,2.1645961,0,1,9,633
"Calendar Year (Jan - Dec), 2018",15,2,53,0,0,54,649,75,3,1,0,2.0037743,6.7057339,2,1,12,574
"Calendar Year (Jan - Dec), 2019",,,,,,82,660,112,,,,,,,,13,548
Tripura,106,0,468,35,0,6395,34358,4050,4,2,146,2.8242597,12.2103061,9,40,895,30308
"Calendar Year (Jan - Dec), 2016",25,0,146,8,0,1013,4081,148,3,0,12,0.722421,2.4275433,2,7,145,3933
"Calendar Year (Jan - Dec), 2017",37,0,149,7,0,972,4238,320,1,1,51,1.1242132,4.3691751,1,16,124,3918
"Calendar Year (Jan - Dec), 2018",44,0,173,20,0,907,6078,753,0,1,83,0.9776255,5.4135877,6,17,137,5325
"Calendar Year (Jan - Dec), 2019",,,,,,1070,5988,652,,,,,,,,144,5336
"Calendar Year (Jan - Dec), 2020",,,,,,874,4653,643,,,,,,,,114,4010
"Calendar Year (Jan - Dec), 2021",,,,,,807,4788,655,,,,,,,,122,4133
"Calendar Year (Jan - Dec), 2022",,,,,,752,4532,879,,,,,,,,109,3653
Uttar Pradesh,3311,5686,59304,13890,107,395782,4327524,1924981,237,33794,402799,361.955689,1247.856428,172,5972,28024,2402543
"Calendar Year (Jan - Dec), 2016",1438,2130,15765,2639,6,49262,494025,211854,4,10426,124720,167.7097782,630.0749726,30,1414,4889,282171
"Calendar Year (Jan - Dec), 2017",825,1863,20717,4971,39,56011,600082,289998,88,11444,137693,100.126997,293.3475292,58,2055,4324,310084
"Calendar Year (Jan - Dec), 2018",1048,1693,22822,6280,62,59445,585157,242802,145,11924,140386,94.1189138,324.4339257,84,2503,4018,342355
"Calendar Year (Jan - Dec), 2019",,,,,,59853,628578,275447,,,,,,,,3806,353131
"Calendar Year (Jan - Dec), 2020",,,,,,49385,657925,302815,,,,,,,,3779,355110
"Calendar Year (Jan - Dec), 2021",,,,,,56083,608082,250177,,,,,,,,3717,357905
"Calendar Year (Jan - Dec), 2022",,,,,,65743,753675,351888,,,,,,,,3491,401787
Uttarakhand,462,318,3939,357,7,19504,234732,137673,21,219,17357,26.8579307,46.9937528,58,19,1340,97059
"Calendar Year (Jan - Dec), 2016",124,49,1289,62,0,1588,16074,5207,3,65,5142,7.1634128,13.26644,28,4,194,10867
"Calendar Year (Jan - Dec), 2017",159,75,1122,124,5,1944,28861,15972,11,96,5990,8.1757666,15.5067807,13,7,181,12889
"Calendar Year (Jan - Dec), 2018",179,194,1528,171,2,2817,34715,19976,7,58,6225,11.5187513,18.2205321,17,8,211,14739
"Calendar Year (Jan - Dec), 2019",,,,,,2541,28268,16187,,,,,,,,199,12081
"Calendar Year (Jan - Dec), 2020",,,,,,2846,57332,43520,,,,,,,,160,13812
"Calendar Year (Jan - Dec), 2021",,,,,,3431,34875,19171,,,,,,,,208,15704
"Calendar Year (Jan - Dec), 2022",,,,,,4337,34607,17640,,,,,,,,187,16967
West Bengal,1789,226,29397,1381,29,231354,1320790,192941,306,376,148166,101.9405111,356.2451062,40,453,13439,1127849
"Calendar Year (Jan - Dec), 2016",709,74,9663,478,2,32513,204400,27831,83,119,56447,24.6915306,158.4457479,16,102,2044,176569
"Calendar Year (Jan - Dec), 2017",577,88,10052,568,21,30992,195537,31538,122,138,37612,29.766204,100.6620262,15,167,2001,163999
"Calendar Year (Jan - Dec), 2018",503,64,9682,335,6,30394,188063,30453,101,119,54107,47.4827765,97.1373321,9,184,1933,157610
"Calendar Year (Jan - Dec), 2019",,,,,,30394,188063,30453,,,,,,,,1933,157610
"Calendar Year (Jan - Dec), 2020",,,,,,36439,182367,24307,,,,,,,,1948,158060
"Calendar Year (Jan - Dec), 2021",,,,,,35884,181821,24323,,,,,,,,1884,157498
"Calendar Year (Jan - Dec), 2022",,,,,,34738,180539,24036,,,,,,,,1696,156503
Grand Total,101046,82071,448764,61361,1391,2714297,38589521,14715596,20221,126797,3279382,4604.9925,19962.64971,12757,24535,203982,23873925
